gid,priority_score,reason,request
100000000331309100,0.92842527,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000008603629100,0.91719835,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000000437046100,0.91463901,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000008346837100,0.88135529,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000008477350100,0.87596803,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000001857829100,0.86759994,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000008547948100,0.86013132,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000002957787100,0.85358284,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000005704413100,0.85355238,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000004400305100,0.84058548,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000007442518100,0.84026541,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000004156082100,0.83917103,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000007594394100,0.82920896,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000005910114100,0.82108186,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000005933757100,0.81658862,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000008489922100,0.81524082,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000008730846100,0.81283328,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000004403675100,0.81183283,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000005782781100,0.80612627,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000004351795100,0.79910439,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000004070318100,0.7893261,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000008636603100,0.78773247,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000003854444100,0.78054111,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000003242289100,0.78038094,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000000332284100,0.77981611,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000008466579100,0.77072083,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000008547844100,0.76885663,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
100000008413748100,0.76431998,Неполный наблюдаемый баланс,Входящие вне выборки и остаток на начало июля
